#'chr'	'start'	'end'	'2cell_early_maternal_K4me3_mm10.bw'	'2cell_early_paternal_K4me3_mm10.bw'	'2cell_late_maternal_K4me3_mm10.bw'	'2cell_late_paternal_K4me3_mm10.bw'	'4cell_maternal_K4me3_mm10.bw'	'4cell_paternal_K4me3_mm10.bw'	'8cell_maternal_K4me3_mm10.bw'	'8cell_paternal_K4me3_mm10.bw'	'ICM_maternal_K4me3_mm10.bw'	'ICM_paternal_K4me3_mm10.bw'	'MII_oocyte_K4me3_mm10.bw'	'sperm_K4me3_mm10.bw'	'zygote_maternal_K4me3_mm10.bw'	'zygote_paternal_K4me3_mm10.bw'
chr18	3382224	3384225	0.7799600462218026	0.6122151074593178	1.905581655448716	1.452721744377442	3.856793830061262	3.1472043048368294	3.5807518729087926	4.1220316162812125	5.078501237941467	5.280147170494154	1.4155496946157673	1.1018695010990343	1.296292135315569	0.6652718888106921
chr18	4648067	4650068	0.47285716022763935	1.0000000298023224	0.3980000138282776	0.33000001311302185	1.0	1.3300000429153442	0.6700000166893005	nan	1.659999966621399	nan	0.4150000140070915	0.7185077165759857	0.6700000166893005	0.6700000166893005
chr18	7867831	7869832	0.8325000181794167	0.33000001311302185	1.1116666744152706	1.3289701426986809	1.905714316027505	2.426718551206527	2.1657983064094957	1.6700000017881393	5.051249995827675	3.2312499433755875	0.9575000107288361	1.9984175267317505	nan	0.33000001311302185
chr18	8180971	8182972	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.33000001311302185	nan	nan	nan
chr18	10587697	10589698	0.6538095403285253	0.44333334763844806	0.6700000166893005	0.8863934679109542	1.0016778507488686	0.6700000166893005	0.5405368442913417	0.4958536733941334	1.3300000429153442	0.8833333353201548	0.9561682344411393	0.6745847158653792	0.7796644288421477	0.6700000166893005
chr18	10609351	10611352	0.6443224079938826	0.9694555477524842	3.190344085571636	2.409178683416428	4.766733263875102	2.6578837598485365	3.227560679684692	3.2554593252913455	5.634027272870237	6.240452681813196	0.869333720385929	2.6530384711776	0.904285728931427	0.33000001311302185
chr18	11051509	11053510	0.43734464722838107	0.3980000138282776	1.831249974668026	1.2525991314308234	1.0838201318815248	1.3784581538339018	3.2209064360391575	2.934036697816411	2.9735971858508763	3.718894070859435	0.8262177843096882	1.3415783500777765	0.4975000098347664	0.6675000116229057
chr18	12120497	12122498	1.046908942473783	0.9725000113248825	1.022000014781952	1.1063048745001656	1.1108333294590313	1.6898735345432967	1.5350497590054422	1.6691666791836421	1.7255957395516566	1.1746677199416036	1.4527836135481071	0.877271327190817	0.7859128107546027	0.5191010161324692
chr18	23751304	23753305	0.8241470458676013	0.9924688257481392	1.0890539662588603	0.9677023014107665	2.121607404854016	0.9265084430050521	1.4343936416074248	1.1426202394871372	0.4950000196695328	1.3286622209493133	1.064132932154671	1.0552082080300949	1.2178771082915407	0.5529580749818032
chr18	23752724	23754725	0.8306779720015445	0.8010000109672546	0.8315686361462462	0.9251613040124217	1.5812727451324462	0.9640425570467686	1.286808523725956	1.0584745892023637	0.484000019232432	1.8004348018895024	0.7715255283857885	1.039537781108401	0.9109090973030437	0.7762745203925114
chr18	28559165	28561166	0.6700000166893005	nan	0.8445309577825778	nan	0.6675000190734863	0.6700000166893005	0.6660000026226044	0.6410599264406389	0.4400000174840291	0.33000001311302185	0.36921569980002056	0.5018854137860005	0.33000001311302185	0.6700000166893005
chr18	34219983	34221984	0.8653497014881588	0.5154493719807025	1.7355502980716249	1.3515847490626227	2.2382058513678498	3.081405385500338	1.718246617930473	2.976515680769934	2.738374528711267	3.8179632016512275	1.1266395988351177	1.3095686447770893	0.6171428603785378	0.5700000183922904
chr18	34408422	34410423	1.200000023841858	0.8350000008940697	0.9162500165402889	1.0837499871850014	1.5566666771968205	1.2199999739726384	1.1166666944821675	1.6700000017881393	1.0400000214576721	nan	0.8949658226521626	1.1537867869224103	0.5566666821638743	0.5000000149011612
chr18	34596467	34598468	0.33000001311302185	0.9320000171661377	0.6666666766007742	0.44333334763844806	2.6700000762939453	0.6633333563804626	0.6680000185966491	0.45881989024440695	0.528000020980835	nan	0.49971715300134734	0.628819972862815	0.534000015258789	nan
chr18	34776007	34778008	0.9030960919169769	0.8142519852151395	1.809293163045776	2.3230394657416022	4.732396601652793	5.805774278215223	5.771487194379082	4.22781708124026	6.171732835044945	5.182960335440972	1.0161138943858914	1.9682758740339799	0.36306734513166244	0.33000001311302185
